Model,Accuracy,Precision,Recall,F1,ROC-AUC
Naive Bayes,0.7181818181818181,0.6944444444444444,0.847457627118644,0.7633587786259542,0.8035892323030907
Support Vector Machine,0.6909090909090909,0.6984126984126984,0.7457627118644068,0.7213114754098361,0.7758391492190095
Logistic Regression,0.7,0.7321428571428571,0.6949152542372882,0.7130434782608696,0.7497507477567298
AdaBoost,0.6818181818181818,0.74,0.6271186440677966,0.6788990825688074,0.7396144898637421
Random Forest,0.6454545454545455,0.6785714285714286,0.6440677966101694,0.6608695652173913,0.6937520771020272
Gradient Boosting,0.6272727272727273,0.6607142857142857,0.6271186440677966,0.6434782608695652,0.6882685277500831
K-Nearest Neighbors,0.6,0.6415094339622641,0.576271186440678,0.6071428571428571,0.6787969425058159
XGBoost,0.6272727272727273,0.6551724137931034,0.6440677966101694,0.6495726495726496,0.6563642406114988
Decision Tree,0.6181818181818182,0.6440677966101694,0.6440677966101694,0.6440677966101694,0.6161515453639083
